iter	MultiClass
0	1.039520163
1	0.9844105551
2	0.9407833605
3	0.9026086284
4	0.8712362051
5	0.845547488866	0.8212384058
7	0.801905208
8	0.7847205486
9	0.7668820798
10	0.7533654748
11	0.7396157917
12	0.7286428266
13	0.7174995762
14	0.7059044357
15	0.6959703148
16	0.6886563013
17	0.6788225079
18	0.6710003928
19	0.6642842221
20	0.6572423394
21	0.6515057361
22	0.6458898086
23	0.639723756
24	0.6348036389
25	0.6302377832
26	0.6257971785
27	0.6213351264
28	0.6174723619
29	0.612958253
30	0.6099169142
31	0.6067062807
32	0.6035202409
33	0.6012683609
34	0.5986869117
35	0.5972802253
36	0.5934010242
37	0.5912028971
38	0.5879769308
39	0.5855425304
40	0.5836865069
41	0.5821939923
42	0.5790871696
43	0.5773475071
44	0.5757386315
45	0.5745400354
46	0.5734584358
47	0.5713469216
48	0.5689275019
49	0.5664507358
50	0.5637121659
51	0.5615046253
52	0.5591528948
53	0.5570119021
54	0.5558704245
55	0.5534991228
56	0.5504924899
57	0.5482074674
58	0.5464713238
59	0.5447297204
60	0.5433146322
61	0.541714277
62	0.5398561082
63	0.5377443133
64	0.5361880855
65	0.5352108652
66	0.5343365405
67	0.5330962218
68	0.5320702881
69	0.5305111934
70	0.5293474897
71	0.5278924027
72	0.5255927463
73	0.5236567444
74	0.5221676984
75	0.5205582187
76	0.5195770619
77	0.5187936815
78	0.5174650389
79	0.5165922729
80	0.515687438
81	0.5144991318
82	0.5133975733
83	0.5124835457
84	0.5115167735
85	0.510353115
86	0.5088378448
87	0.5073615356
88	0.5065493736
89	0.504998436
90	0.5040155152
91	0.5033015216
92	0.5021315143
93	0.5009867603
94	0.5002348269
95	0.4989514945
96	0.497774319
97	0.4963092168
98	0.4946194638
99	0.4932492363
100	0.4925501294
101	0.4918355187
102	0.4906693044
103	0.490055065
104	0.488984661
105	0.4883451497
106	0.4879831419
107	0.4865670848
108	0.4857655885
109	0.4840769216
110	0.4826698743
111	0.4817770878
112	0.4811135671
113	0.4798228332
114	0.4790847983
115	0.4778729968
116	0.4759087804
117	0.4748588504
118	0.4736788491
119	0.4726371883
120	0.471442737
121	0.4704212894
122	0.469075056
123	0.4682147964
124	0.4672962357
125	0.4657574214
126	0.4652525097
127	0.464497992
128	0.4634024551
129	0.4621862205
130	0.4609054877
131	0.4593166897
132	0.45766199
133	0.4566698502
134	0.4559476838
135	0.4551630307
136	0.4545969528
137	0.4537797708
138	0.4532766244
139	0.4526892862
140	0.4520776539
141	0.4511130848
142	0.4500755215
143	0.4493424581
144	0.4485591676
145	0.4470286043
146	0.4462818695
147	0.4456185376
148	0.4447631676
149	0.4438079473
150	0.4430980495
151	0.4424402191
152	0.4417613227
153	0.4404430996
154	0.4400846987
155	0.4387322915
156	0.4378004196
157	0.4366956823
158	0.4352278585
159	0.433969513
160	0.4330608277
161	0.4322124152
162	0.4316581021
163	0.4301764965
164	0.4298787349
165	0.4291580642
166	0.4274932684
167	0.4265469269
168	0.424789238
169	0.4242247974
170	0.4231953677
171	0.4216941853
172	0.4201443448
173	0.4197465547
174	0.4189373951
175	0.4176941834
176	0.4167683325
177	0.4152004602
178	0.4140158363
179	0.4132739906
180	0.4125655923
181	0.4112619367
182	0.4108455567
183	0.4096008354
184	0.4090830487
185	0.4080589873
186	0.407582171
187	0.4071404721
188	0.4060534868
189	0.4048879795
190	0.4037018114
191	0.4030131998
192	0.402410112
193	0.4014568109
194	0.4010773581
195	0.4000595484
196	0.3993968757
197	0.3987723928
198	0.3979556584
199	0.3975762884
200	0.3969298755
201	0.3965646157
202	0.3957707976
203	0.3948784974
204	0.3935953617
205	0.3929787888
206	0.3924953898
207	0.3912636615
208	0.3901882816
209	0.3895975875
210	0.3891847463
211	0.3884619123
212	0.388150929
213	0.3877397173
214	0.3872102561
215	0.3864220535
216	0.3859655904
217	0.3849489433
218	0.3843812076
219	0.3838531817
220	0.3827196098
221	0.3819920791
222	0.380569673
223	0.3796229703
224	0.3791656187
225	0.3776962286
226	0.3763711173
227	0.3757938331
228	0.3750308875
229	0.3745079877
230	0.37385446
231	0.3727875393
232	0.3717712534
233	0.3710548409
234	0.3705625262
235	0.3698151411
236	0.3694010542
237	0.3690050564
238	0.3682204925
239	0.3678685854
240	0.3673007575
241	0.3669342391
242	0.3666994831
243	0.3658806338
244	0.3654362011
245	0.3648964881
246	0.3642755732
247	0.3634131385
248	0.3626985618
249	0.361907725
250	0.3609254085
251	0.360679651
252	0.36027591
253	0.3597800038
254	0.3594141781
255	0.3591238449
256	0.3589172736
257	0.3583313048
258	0.3582004812
259	0.3575863921
260	0.3565237979
261	0.3556676564
262	0.3550164652
263	0.354860239
264	0.3542679777
265	0.3536065486
266	0.3528037044
267	0.3523312321
268	0.3516402439
269	0.350472922
270	0.3497889754
271	0.3493877865
272	0.3488771024
273	0.3477231785
274	0.3468200885
275	0.3467447599
